category,description,image_urls,name,sku
Spirulina,"In Superfoods We Trust
Kosher
Non GMO Project Verified
USDA Organic
Raw and Wholesome Food for Vibrant Living
Certified Organic Spirulina
More Than 60% Protein
Essential Amino Acids & Omega-6 Fatty Acid GLA
No Additives, Preservatives or Fillers
Vegan
Certified Organic by Organic Certifiers, Inc.
Spirulina is one of the world's most concentrated sources of functional nutrients, offering health benefits to almost every organ in your body. It is rich with chlorophyll, beta-carotene, protein, iron and provides easy to digest amino acids. Grown in mineral-rich waters, this superfood contains a wealth of antioxidants, immunity boosting and anti-inflammatory benefits. Earth Circle Organics' certified organic Spirulina Powder is non-gmo and vegan friendly.","https://s3.images-iherb.com/eor/eor01504/t/5.jpg,https://s3.images-iherb.com/eor/eor01504/t/6.jpg","Earth Circle Organics, Organic Spirulina Powder, 4 oz (113 g)",EOR-01504
Spirulina,"Nature's Superfood Supplement
Halal
Kosher
Certified Vegan
Certified Gluten-Free
100% Vegan
Dietary Supplement
Non GMO Project Verified
Hawaiian Spirulina Pacifica strengthens the immune system and supports cardiovascular health, as well nourishes the body and support a healthy lifestyle. Our spirulina is grown on the sunny coast of Kona, Hawaii in fresh Hawaiian aquifer water without using pesticides or herbicides. Our Ocean Chill Drying technology ensures maximum nutrient level of vitamins, minerals, antioxidants and phytonutrients. For over 35 years, our unique farm to bottle process and rigorous quality control produces pure, high-quality spirulina from a source you can trust.","https://s3.images-iherb.com/nhi/nhi01023/t/7.jpg,https://s3.images-iherb.com/nhi/nhi01023/t/8.jpg","Nutrex Hawaii, Pure Hawaiian Spirulina, Powder, 5 oz (142 g)",NHI-01023
Spirulina,"® 
 Ultra-Nourishing Green Superfood
Sourced From Blue-Green Algae Industry Leader Parry Nutraceuticals
Certified Organic by Oregon Tilth, USP Verified & USDA Organic
A Great Source of Protein, Amino Acids, Fatty Acids, Vitamins & Minerals*
Rich with Phytonutrients such as Phycocyanin & Chlorophyll*
Naturally Occurring Antioxidants such as the Carotenoids Beta-Carotene & Zeaxanthin*
60 Tablets Suitable For Vegan
Produced in a 3rd Party Audited cGMP Registered (Certified) Facility
Formulated to Contain: No Gluten – No GMOs – No Soy
100% Gold Guarantee
Spirulina is one of the most nutritious and concentrated food sources in the world.  ","https://s3.images-iherb.com/cgn/cgn01175/t/10.jpg,https://s3.images-iherb.com/cgn/cgn01175/t/11.jpg,https://s3.images-iherb.com/cgn/cgn01175/t/0.jpg","California Gold Nutrition, Organic Spirulina, USDA Certified, 500 mg, 60 Tablets",CGN-01175
Spirulina,"Nature's Superfood Supplement
Kosher
Certified Vegan
Certified Gluten-Free
100% Vegan
Dietary Supplement
Non-GMO Project Verified
Hawaiian Spirulina Pacifica is a wholesome nutritional supplement that nourishes the body and supports a healthy lifestyle. Spirulina strengthens the immune system and supports cardiovascular health. Our spirulina is grown on the sunny coast of Kona, Hawaii in fresh Hawaiian aquifer water without using pesticides or herbicides. Our Ocean Chill Drying technology ensure maximum nutrient levels. For over 30 years, our unique farm to bottle process and rigorous quality control produces pure, high quality spirulina from a source you can trust.","https://s3.images-iherb.com/nhi/nhi01026/t/5.jpg,https://s3.images-iherb.com/nhi/nhi01026/t/6.jpg","Nutrex Hawaii, Pure Hawaiian Spirulina Pacifica, 16 oz (454 g)",NHI-01026
Spirulina,"Certified Organic
Nutrient Rich Superfood
Non-GMO
USDA Organic
Vegetarian/Vegan
Kosher
Botanicals/Herbs
Family Owned Since 1968
Certified Organic by QAI
Quality Assured GMP
NOW Spirulina delivers the natural nutrient profile found in Genuine Whole Foods.","https://s3.images-iherb.com/now/now02700/t/9.jpg,https://s3.images-iherb.com/now/now02700/t/10.jpg","Now Foods, Certified Organic Spirulina, 500 mg, 500 Tablets",NOW-02700
Spirulina,"Eco Friendly Packaging
Superfoods
Non-GMO Project Verified
Certified Vegan
Gluten Free
Amazing Micro-Algae
Est. 1996
Inspired by Nature - Supported by Science
Produced in a GMP Quality Facility 
Gluten
Preservatives
Refined sugar
Sugar alcohols
Animal products
Fillers or additives
Artificial ingredients 
Untouched nature mesmerizes me how it lives in harmony within itself; plants, animals and microorganisms, all intertwined   in a sometimes chaotic yet cyclical unity. This perspective shaped my childhood and evolved into a quest for knowledge of ethnobotany (study of the relationships between peoples and plants). I'm humbled that this exploration allowed me to build a line of natural health products. ","https://s3.images-iherb.com/mrm/mrm80016/t/5.jpg,https://s3.images-iherb.com/mrm/mrm80016/t/4.jpg","MRM, RAW Spirulina Powder, 8.5 oz (240 g)",MRM-80016
Kelp,"Dietary Supplement
Thyroid Gland Support
Supports a Healthy Thyroid Gland
Purity & Potency Guaranteed
Supports a healthy thyroid gland.","https://s3.images-iherb.com/nfs/nfs02909/t/5.jpg,https://s3.images-iherb.com/nfs/nfs02909/t/6.jpg","Natural Factors, Liquid Kelp, 800 mcg Iodine, 1.6 fl oz (50 ml)",NFS-02909
Algae,"With Maritech 926
Most Concentrated Source of Intact Fucoidan From The Ocean†
Dietary Supplement
Non-GMO 
In recent  years, scientific interest has intensified around fucoidan, a little-known  molecule found primarily in edible seaweeds native to the Japanese diet. Nearly  900 published studies indicate its power to promote healthy immune function,  cell-to-cell communication, and tissue maintenance.","https://s3.images-iherb.com/lex/lex15136/t/78.jpg,https://s3.images-iherb.com/lex/lex15136/t/79.jpg","Life Extension, Optimized Fucoidan with Maritech 926, 60 Vegetarian Capsules",LEX-15136
Kelp,"Sun Food Energy
Laminaria Digitata
Thyroid Health
1 Daily
Dietary Supplement
Suitable for Vegetarians
Quality You Can Trust
 Kelp is a good source of the essential mineral iodine which is important in providing nutritive support for healthy thyroid function.","https://s3.images-iherb.com/nli/nli00231/t/3.jpg,https://s3.images-iherb.com/nli/nli00231/t/4.jpg","Nature's Life, Icelandic Kelp, 500 Tablets",NLI-00231
Kelp,"Established 1971
Certified Gluten-Free
An Excellent Natural Source of Iodine
Supports Thyroid Health
Dietary Supplement
Authenticity
Cleanliness
Freshness
Consistency
Accuracy
Kelp is a type of seaweed found in the ocean. Known as a green superfood, kelp is an excellent natural source of iodine. Iodine is known for helping to support healthy thyroid function.","https://s3.images-iherb.com/clf/clf04135/t/18.jpg,https://s3.images-iherb.com/clf/clf04135/t/19.jpg","Country Life, Arctic-Kelp, 225 mcg, 300 Tablets",CLF-04135
